HomeTeam,key,Team,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,Country
154,Man City,Manchester City ,Man City,Manchester ,Etihad Stadium,47405,53.482989,-2.2002919999999997,England
141,Man United,Manchester United ,Man United,Stretford ,Old Trafford ,75811,53.46305600000001,-2.291389,England
137,Chelsea,Chelsea ,Chelsea,London ,Stamford Bridge ,42449,51.481667,-0.191111,England
136,Arsenal,Arsenal ,Arsenal,London ,Emirates Stadium ,60361,51.555,-0.10861099999999999,England
130,Liverpool,Liverpool ,Liverpool,Liverpool ,Anfield ,45276,53.43081899999999,-2.960828,England
128,Tottenham,Tottenham Hotspur ,Tottenham,London ,White Hart Lane ,36230,51.603333,-0.065833,England
108,Everton,Everton ,Everton,Liverpool ,Goodison Park ,40157,53.438889,-2.966389,England
73,West Ham,West Ham United ,West Ham,London ,Boleyn Ground ,35303,51.531944,0.039444,England
71,Stoke,Stoke City ,Stoke,Stoke-on-Trent ,Britannia Stadium ,27740,52.988333,-2.1755560000000003,England
69,Newcastle,Newcastle United ,Newcastle,Newcastle upon Tyne ,Sports Direct Arena,52409,54.975556000000005,-1.621667,England
55,Southampton,Southampton ,Southampton,Southampton ,St Mary's Stadium ,32689,50.905833,-1.391111,England
53,Leicester,Leicester City ,Leicester,Leicester ,King Power Stadium ,32500,52.620278000000006,-1.1422219999999998,England
52,West Brom,West Bromwich Albion ,West Brom,West Bromwich ,The Hawthorns ,27877,52.509167000000005,-1.963889,England
51,Swansea,Swansea City ,Swansea,Swansea ,Liberty Stadium ,20520,51.6422,-3.9351,England
47,Fulham,Fulham ,Fulham,London ,Craven Cottage ,25700,51.475,-0.221667,England
46,Sunderland,Sunderland ,Sunderland,Sunderland ,Stadium of Light ,48707,54.9144,-1.3882,England
44,Crystal Palace,Crystal Palace ,Crystal Palace,London ,Selhurst Park ,26309,51.398333,-0.085556,England
43,Aston Villa,Aston Villa ,Aston Villa,Birmingham ,Villa Park ,42785,52.509167000000005,-1.884722,England
42,Burnley,Burnley ,Burnley,Burnley ,Turf Moor ,22546,53.789167000000006,-2.2302779999999998,England
33,Watford,Watford ,Watford,Watford ,Vicarage Road ,23500,51.649836,-0.401486,England
33,Bournemouth,Bournemouth,Bournemouth,Bournemouth,Vitality Stadium,10375,50.735278,-1.8383330000000002,England
31,Wolves,Wolverhampton Wanderers ,Wolves,Wolverhampton ,Molineux Stadium ,27828,52.590278000000005,-2.1302779999999997,England
31,Norwich,Norwich City ,Norwich,Norwich ,Carrow Road ,27010,52.622128000000004,1.308653,England
26,Hull,Hull City ,Hull,Kingston upon Hull ,KC Stadium ,25404,53.746111,-0.367778,England
23,Blackburn,Blackburn Rovers ,Blackburn,Blackburn ,Ewood Park ,31154,53.728611,-2.4891669999999997,England
20,Wigan,Wigan Athletic ,Wigan,Wigan ,DW Stadium ,25133,53.547778,-2.653889,England
20,Bolton,Bolton Wanderers ,Bolton,Bolton ,Reebok Stadium ,28100,53.58055600000001,-2.535556,England
17,Brighton,Brighton & Hove Albion ,Brighton,Brighton ,American Express Community Stadium ,22374,50.861822,-0.08327799999999999,England
15,QPR,Queens Park Rangers ,QPR,London ,Loftus Road ,18439,51.509167,-0.23222199999999998,England
14,Birmingham,Birmingham City ,Birmingham,Birmingham ,St Andrew's Stadium ,30079,52.475703,-1.8681889999999999,England
11,Cardiff,Cardiff City ,Cardiff,Cardiff ,Cardiff City Stadium ,26828,51.472778000000005,-3.203056,England
8,Huddersfield,Huddersfield,Huddersfield,Huddersfield,Kirklees Stadium,24121,53.654167,-1.7683330000000002,England
7,Sheffield United,Sheffield United,Sheffield United,Sheffield,Bramall Lane,33000,53.370278000000006,-1.470833,England
5,Blackpool,Blackpool ,Blackpool,Blackpool ,Bloomfield Road ,16220,53.804722,-3.0480560000000003,England
5,Portsmouth,Portsmouth ,Portsmouth,Portsmouth ,Fratton Park ,20224,50.796389000000005,-1.0638889999999999,England
4,Reading,Reading ,Reading,Reading ,Madejski Stadium ,24224,51.422222,-0.982778,England
4,Middlesbrough,Middlesbrough ,Middlesbrough,Middlesbrough ,Riverside Stadium ,34988,54.57833299999999,-1.216944,England
